Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
114,-47.625,-54,44.4375,-0.9072266,0.1875,0.3476563,-0.04638672,-0.4121094,0.1318359
115,-48.5,-60.9375,48.4375,-0.8598633,0.2724609,0.4306641,-0.04638672,-0.4121094,0.1318359
116,-45.1875,-55,43.125,-0.8515625,0.2919922,0.4902344,-0.04638672,-0.4121094,0.1318359
117,-35.6875,-44,35.625,-0.9194336,0.2841797,0.5097656,-0.04638672,-0.4121094,0.1318359
118,-23.5,-32.0625,27.5625,-0.8955078,0.2573242,0.5136719,-0.04638672,-0.4121094,0.1318359
119,-16.5625,-20.5625,19.4375,-0.8876953,0.3037109,0.5019531,-0.04638672,-0.4121094,0.1318359
120,-11.9375,-4.8125,11.4375,-0.855957,0.2802734,0.5258789,-0.04638672,-0.4121094,0.1318359
121,-6.625,14.75,6.5,-0.8237305,0.2612305,0.5532227,-0.04638672,-0.4121094,0.1318359
122,-2.375,31.8125,5.4375,-0.84375,0.2612305,0.5297852,-0.04638672,-0.4121094,0.1318359
123,-4,39.125,6.0625,-0.855957,0.2685547,0.4545898,-0.04638672,-0.4121094,0.1318359
124,-10.4375,36.9375,8,-0.8515625,0.2802734,0.4111328,-0.04638672,-0.4121094,0.1318359
125,-16.4375,28.125,10.125,-0.9116211,0.237793,0.3476563,-0.04638672,-0.4121094,0.1318359
126,-22.4375,16,12.875,-0.9472656,0.2685547,0.3203125,-0.04638672,-0.4121094,0.1318359
127,-28.625,3.125,17,-0.9394531,0.253418,0.3476563,-0.04638672,-0.4121094,0.1318359
128,-32.5,-5.5625,18.625,-0.9233398,0.2573242,0.3833008,-0.04638672,-0.4121094,0.1318359
129,-31.5625,-6.5625,15.625,-0.9233398,0.2802734,0.4780273,-0.04638672,-0.4121094,0.1318359
130,-24.875,-0.8125,10,-0.8876953,0.3110352,0.4863281,-0.04638672,-0.4121094,0.1318359
131,-16.6875,7.8125,5.4375,-0.84375,0.222168,0.4428711,-0.04638672,-0.4121094,0.1318359
132,-9.625,13.0625,5.875,-0.8598633,0.152832,0.4941406,-0.04638672,-0.4121094,0.1318359
133,-1.625,20.8125,11.6875,-0.855957,0.1992188,0.4267578,-0.04638672,-0.4121094,0.1318359
134,-19.875,21.25,21.875,-0.8515625,0.3227539,0.2807617,-0.04638672,-0.4121094,0.1318359
135,-41.8125,-1.0625,27.1875,-0.9033203,0.2841797,0.4824219,-0.04638672,-0.4121094,0.1318359
136,-29.25,-25.5625,32.9375,-0.8916016,0.2841797,0.3476563,-0.04638672,-0.4121094,0.1318359
137,-45.1875,-42.5625,36.0625,-0.8793945,0.2763672,0.371582,-0.04638672,-0.4121094,0.1318359
138,-49.375,-55.75,37.5,-0.8837891,0.2495117,0.3476563,-0.04638672,-0.4121094,0.1318359
139,-53,-67.8125,32.4375,-0.871582,0.3110352,0.3637695,-0.04638672,-0.4121094,0.1318359
140,-59.4375,-78.5625,20.8125,-0.8637695,0.3847656,0.3476563,-0.04638672,-0.4121094,0.1318359
141,-65.25,-88,5.75,-0.9033203,0.3652344,0.4111328,-0.04638672,-0.4121094,0.1318359
142,-65.9375,-93,0.6875,-0.9194336,0.2958984,0.4780273,-0.04638672,-0.4121094,0.1318359
143,-62.25,-91.3125,2.625,-0.8754883,0.253418,0.5058594,-0.04638672,-0.4121094,0.1318359
144,-62.6875,-90.9375,2.375,-0.9550781,0.2651367,0.4824219,-0.04638672,-0.4121094,0.1318359
145,-61.1875,-93.1875,7.1875,-0.9511719,0.1064453,0.5732422,-0.04638672,-0.4121094,0.1318359
146,-59.0625,-99.5625,16.3125,-0.8237305,0.3730469,0.300293,-0.04638672,-0.4121094,0.1318359
147,-85.875,-130.5625,-14.5625,-0.7998047,0.3999023,0.387207,-0.04638672,-0.4121094,0.1318359
148,-93.6875,-154.5625,-13.75,-0.9394531,0.1723633,0.4902344,-0.04638672,-0.4121094,0.1318359
149,-91.5625,-174,-5.375,-0.9472656,0.2070313,0.4663086,-0.04638672,-0.4121094,0.1318359
150,-95.5625,-183.1875,4.0625,-0.8876953,0.07177734,0.6166992,-0.04638672,-0.4121094,0.1318359
151,-89.875,-175.4375,23.625,-0.8837891,-0.004882813,0.7548828,-0.04638672,-0.4121094,0.1318359
152,-84.25,-158.375,48.375,-0.871582,-0.0009765625,0.7709961,-0.04638672,-0.4121094,0.1318359
153,-79.3125,-142.375,66.375,-0.8598633,0.08740234,0.8261719,-0.04638672,-0.4121094,0.1318359
154,-71.875,-126.5625,75.1875,-0.7524414,0.1489258,0.8222656,-0.04638672,-0.4121094,0.1318359
155,-67.9375,-111,77.5625,-0.6806641,0.1914063,0.8022461,-0.04638672,-0.4121094,0.1318359
156,-66.3125,-94.6875,75.3125,-0.6767578,0.1875,0.8457031,-0.04638672,-0.4121094,0.1318359
157,-59,-78.375,74.5,-0.6767578,0.1567383,0.8417969,-0.04638672,-0.4121094,0.1318359
158,-48.4375,-67.125,81.875,-0.6962891,0.04833984,0.7905273,-0.04638672,-0.4121094,0.1318359
159,-41.75,-63.125,96.625,-0.7163086,0.02929688,0.7431641,-0.04638672,-0.4121094,0.1318359
160,-45.375,-65.625,109,-0.7246094,0.152832,0.6679688,-0.04638672,-0.4121094,0.1318359
161,-73,-75.3125,98.625,-0.6923828,0.3110352,0.7983398,-0.04638672,-0.4121094,0.1318359
162,-75.625,-84.0625,84.3125,-0.7402344,0.3613281,0.8100586,-0.04638672,-0.4121094,0.1318359
163,-75.4375,-89.0625,75.375,-0.7480469,0.3188477,0.8300781,-0.04638672,-0.4121094,0.1318359
164,-56.125,-81.5,74.3125,-0.6367188,0.1181641,1.102539,-0.04638672,-0.4121094,0.1318359
165,-67.6875,-65.5625,75.875,-0.8237305,0.3540039,0.7983398,-0.04638672,-0.4121094,0.1318359
166,-76.1875,-76.875,70.4375,-0.9233398,0.3886719,0.6796875,-0.04638672,-0.4121094,0.1318359
167,-82.75,-119.9375,50.3125,-0.7246094,0.496582,0.5454102,-0.04638672,-0.4121094,0.1318359
168,-91.375,-169.5625,22.6875,-0.5849609,0.4853516,0.4741211,-0.04638672,-0.4121094,0.1318359
169,-104.75,-211,-0.25,-0.4853516,0.3730469,0.6245117,-0.04638672,-0.4121094,0.1318359
170,-107.5625,-235,-8.625,-0.3540039,0.237793,0.7866211,-0.04638672,-0.4121094,0.1318359
171,-111.25,-247.6875,-10.6875,-0.4379883,0.2612305,0.8417969,-0.04638672,-0.4121094,0.1318359
172,-107.625,-271.125,-24.5,-0.6328125,0.3808594,0.7587891,-0.04638672,-0.4121094,0.1318359
173,-68.5625,-260.9375,-32.9375,-0.7402344,0.1103516,1.470215,-0.04638672,-0.4121094,0.1318359
174,-7.0625,-162.75,8.5625,-0.4936523,-0.2485352,2.067383,-0.04638672,-0.4121094,0.1318359
175,15.0625,-77.6875,41.25,-0.3862305,0.1875,0.8735352,-0.04638672,-0.4121094,0.1318359
176,-11.6875,-99.5625,30.6875,0.04345703,0.2495117,0.9130859,-0.04638672,-0.4121094,0.1318359
177,-7.1875,-135.6875,45.5,-0.4897461,0.2299805,0.972168,-0.04638672,-0.4121094,0.1318359
179,-30.9375,-136.0625,53.5625,-0.5292969,0.3188477,1.193848,-0.04638672,-0.4121094,0.1318359
180,-64.125,-128.25,63.375,-0.612793,0.1411133,1.146484,-0.04638672,-0.4121094,0.1318359
181,-96.3125,-140.25,86.375,-0.5771484,0.06396484,1.126465,-0.04638672,-0.4121094,0.1318359
182,-91.125,-160.0625,102.8125,-0.5532227,0.06005859,1.197754,-0.04638672,-0.4121094,0.1318359
183,-64.375,-166.1875,122.4375,-0.640625,0.04833984,1.217285,-0.04638672,-0.4121094,0.1318359
184,-34.125,-164.5625,145.4375,-0.5771484,0.02929688,1.304199,-0.04638672,-0.4121094,0.1318359
185,2.375,-164.6875,174.4375,-0.5649414,0.05615234,1.233398,-0.04638672,-0.4121094,0.1318359
186,39.1875,-162.6875,202.5,-0.4775391,0.02929688,1.209473,-0.04638672,-0.4121094,0.1318359
187,78.1875,-158.3125,229.9375,-0.3862305,0.02539063,1.177734,-0.04638672,-0.4121094,0.1318359
188,118,-151.5625,256.375,-0.2944336,-0.0009765625,1.098633,-0.04638672,-0.4121094,0.1318359
189,163.375,-133.4375,285.75,-0.1391602,0.1298828,1.027832,-0.04638672,-0.4121094,0.1318359
